photo_URL,birthyear,birthday,personal_email,first_name,mid_name,last_name,conntry_code,phone,mobile,address_1st_line,address_2nd_line,country,postal_code,fax,comment,nickname,k_name,kanji_name,emergency_name,emergency_phone,emergency_comment,k_conntry_code,k_phone,k_mobile,k_address_1st_line,k_address_2nd_line,k_country,k_postal_code,k_email,k_fax,k_comment,job_description,date_employeed,date_departed,office_email,office_email_password,office_pc_id,office_pc_password,office_phone,office_comment,title,k_title,Company,Department,Office_address,City,State,Zip,Country,Fax,Office,
static/img/img0001.jpg,1960,11/8,ab1@seahusa.com,Jun,Scott,Le,1,949-655-8012,562-000-7070,,,,,,,Jun,___,__,,,,,,,,,,,,,____,"SSA, State Pipe, PMT",,,,,,,,,Chairmain & CEO,___,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8012,
static/img/img0002.jpg,1937,10/22,ab2@seahusa.com,Byu,William,Le,1,949-655-8000,310-000-7245,,,,,,,Mr.,___,,,,,,,,,,,,,,,,,,,,,,,,President,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8000,
static/img/img0003.jpg,1965,4/18,ab3@seahusa.com,Chr,,So,1,949-655-8001,213-000-2427,,,,,,,Chr,___,___,,,,,,,,,,,,,Sales,Stainless,,,,,,,,,Senior Manager,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8001,
static/img/img0004.jpg,1947,12/18,ab4@seahusa.com,Chu,Christian,Is,1,949-655-8013,714-000-4661,,,,,,,Chu,___,,,,,,,,,,,,,,Accounting,,,,,,,,,,Vice President,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8013,
static/img/img0005.jpg,,,ab5@seahusa.com,Dav,,Le,1,949-655-8007,562-000-4811,,,,,,,Dav,___,___,,,,,,,,,,,,,Sales,Sales support,,,,,,,,,Assistant Manager,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8007,
static/img/img0006.jpg,1968,5/31,ab6@seahusa.com,Dei,Frank,Sc,1,949-655-8010,562-000-7288,,,,,,,Dei,___,,,,,,,,,,,,,,Sales,Operations,,,,,,,,,Assistant Manager,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8010,
static/img/img0007.jpg,,,ab7@seahusa.com,Jas,Rose,Ka,1,949-655-8009,562-000-5196,,,,,,,Jas,___,___,,,,,,,,,,,,,Sales,Carbon (Vietnam),,,,,,,,,Senior Manager,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8009,
static/img/img0008.jpg,,,ab8@seahusa.com,Jay,Ann Morgan,Le,1,949-655-8004,562-000-5721,,,,,,,Jay,___,___,,,,,,,,,,,,,Sales,"Coil sales, AR",,,,,,,,,Senior Manager,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8004,
static/img/img0009.jpg,,,ab9@seahusa.com,Jae,Van ,Le,1,949-655-8008,661-000-6817,,,,,,,JH,___,___,,,,,,,,,,,,,_______/___,Accounting,,,,,,,,,"Financial Controller, CPA&EA",__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8008,
static/img/img0010.jpg,1966,8/31,ab10@seahusa.com,Mar,H,Ga,1,949-655-8006,562-000-1263,,,,,,,Mar,___,,,,,,,,,,,,,,,Claims/Billing,,,,,,,,,Admin,__,SeAH USA,LA HQ,"2100 Main St., Suite 100",Irvine,CA,92614,United States,949-655-8030,949-655-8006,
